"id","country_id:id","name","code"
dz_1,base.dz,Adrar,01000
dz_2,base.dz,Chlef,02000
dz_3,base.dz,Laghouat,03000
dz_4,base.dz,Oum El Bouaghi,04000
dz_5,base.dz,Batna,05000
dz_6,base.dz,Béjaïa,06000
dz_7,base.dz,Biskra,07000
dz_8,base.dz,Béchar,08000
dz_9,base.dz,Blida,09000
dz_10,base.dz,Bouira,10000
dz_11,base.dz,Tamanrasset,11000
dz_12,base.dz,Tébessa,12000
dz_13,base.dz,Tlemcen,13000
dz_14,base.dz,Tiaret,14000
dz_15,base.dz,Tizi Ouzou,15000
dz_16,base.dz,Alger,16000
dz_17,base.dz,Djelfa,17000
dz_18,base.dz,Jijel,18000
dz_19,base.dz,Sétif,19000
dz_20,base.dz,Saïda,20000
dz_21,base.dz,Skikda,21000
dz_22,base.dz,Sidi Bel Abbès,22000
dz_23,base.dz,Annaba,23000
dz_24,base.dz,Guelma,24000
dz_25,base.dz,Constantine,25000
dz_26,base.dz,Médéa,26000
dz_27,base.dz,Mostaganem,27000
dz_28,base.dz,M'Sila,28000
dz_29,base.dz,Mascara,29000
dz_30,base.dz,Ouargla,30000
dz_31,base.dz,Oran,31000
dz_32,base.dz,El Bayadh,32000
dz_33,base.dz,Illizi,33000
dz_34,base.dz,Bordj Bou Arreridj,34000
dz_35,base.dz,Boumerdès,35000
dz_36,base.dz,El Tarf,36000
dz_37,base.dz,Tindouf,37000
dz_38,base.dz,Tissemsilt,38000
dz_39,base.dz,El Oued,39000
dz_40,base.dz,Khenchela,40000
dz_41,base.dz,Souk Ahras,41000
dz_42,base.dz,Tipaza,42000
dz_43,base.dz,Mila,43000
dz_44,base.dz,Aïn Defla,44000
dz_45,base.dz,Naâma,45000
dz_46,base.dz,Aïn Témouchent,46000
dz_47,base.dz,Ghardaïa,47000
dz_48,base.dz,Relizane,48000
dz_49,base.dz,Timimoun,49000
dz_50,base.dz,Bordj Badji Mokhtar,50000
dz_51,base.dz,Ouled Djellal,51000
dz_52,base.dz,Béni Abbès,52000
dz_53,base.dz,In Salah,53000
dz_54,base.dz,In Guezzam,54000
dz_55,base.dz,Touggourt,55000
dz_56,base.dz,Djanet,56000
dz_57,base.dz,El Meghaier,57000
dz_58,base.dz,El Menia,58000
